cell_id,ctr_x,ctr_y,n_dolmen,n_sites,n_extant,landform_mode,dist_coast_km,elev_m,bathy_grad,curr_p90,curr_mean
1889,1012500.0,1827500.0,0.0,0.0,0.0,,77.8808226220771,361.9826965332031,39.776778862509495,,
1902,1017500.0,1622500.0,0.0,0.0,0.0,,4.892643185793017,23.29950523376465,17.116379466909063,,
1904,1017500.0,1632500.0,0.0,0.0,0.0,,3.5299937603824407,-3.25,2.2534695471649933,,
1905,1017500.0,1637500.0,0.0,0.0,0.0,,0.9527332778859916,-1.0121374130249023,27.692697865727812,,
1906,1017500.0,1642500.0,0.0,0.0,0.0,,4.981881038858175,124.39248657226562,18.776748323828087,,
1907,1017500.0,1647500.0,0.0,0.0,0.0,,1.1083886222294181,81.92115783691406,108.88977430954758,,
1908,1017500.0,1652500.0,0.0,0.0,0.0,,2.8541839309951036,-2.75,2.9501059303014867,,
1910,1017500.0,1662500.0,0.0,0.0,0.0,,2.230064237936122,111.36380004882812,149.93793364833815,,
1911,1017500.0,1667500.0,0.0,0.0,0.0,,2.850583320112017,125.4540023803711,97.84034087926207,,
1912,1017500.0,1672500.0,0.0,0.0,0.0,,6.8301894036274655,149.43887329101562,64.51992752596273,,
1913,1017500.0,1677500.0,0.0,0.0,0.0,,11.62657083210475,102.0753402709961,117.1222624809101,,
1914,1017500.0,1682500.0,0.0,0.0,0.0,,16.543966009952783,18.673166275024414,38.32082039488596,,
1915,1017500.0,1687500.0,0.0,0.0,0.0,,21.499499374706314,379.5899658203125,194.45949729445027,,
1916,1017500.0,1692500.0,0.0,0.0,0.0,,26.471761093427865,1021.4429931640625,42.2285546924371,,
1917,1017500.0,1697500.0,0.0,0.0,0.0,,31.452818592489372,1011.9285888671875,163.94559016727115,,
1918,1017500.0,1702500.0,0.0,0.0,0.0,,36.439065018693455,1445.20361328125,157.1301295701079,,
1919,1017500.0,1707500.0,0.0,0.0,0.0,,41.428626835330824,875.16015625,185.6619695605204,,
1920,1017500.0,1712500.0,0.0,0.0,0.0,,46.42043497734179,327.70758056640625,100.41297396420279,,
1921,1017500.0,1717500.0,0.0,0.0,0.0,,51.413835156601,597.2996215820312,161.05894428379864,,
1922,1017500.0,1722500.0,0.0,0.0,0.0,,56.40840458242606,365.0782470703125,179.35291427257056,,
1923,1017500.0,1727500.0,0.0,0.0,0.0,,61.40385793709699,309.72772216796875,117.28897321272551,,
1924,1017500.0,1732500.0,0.0,0.0,0.0,,65.70464129257788,840.4403076171875,113.17110396397086,,
1925,1017500.0,1737500.0,0.0,0.0,0.0,,70.01347152897122,430.06121826171875,91.77182222583232,,
1926,1017500.0,1742500.0,0.0,0.0,0.0,,74.40882006650689,444.01214599609375,55.249340364103034,,
1927,1017500.0,1747500.0,0.0,0.0,0.0,,78.8762246297421,725.3651733398438,195.6145648492023,,
1928,1017500.0,1752500.0,0.0,0.0,0.0,,78.54874006563445,887.4491577148438,167.5091153039336,,
1929,1017500.0,1757500.0,0.0,0.0,0.0,,77.81318745789059,765.457275390625,70.74893803674735,,
1930,1017500.0,1762500.0,0.0,0.0,0.0,,77.27793083009738,551.4097290039062,74.0707136925359,,
1931,1017500.0,1767500.0,0.0,0.0,0.0,,76.06578655444164,596.7459106445312,70.58711494116606,,
1932,1017500.0,1772500.0,0.0,0.0,0.0,,75.167341145676,847.5733032226562,191.63773013985553,,
1933,1017500.0,1777500.0,0.0,0.0,0.0,,74.5709238852414,329.2547912597656,48.78111446883691,,
1934,1017500.0,1782500.0,0.0,0.0,0.0,,74.2222094121627,376.1130676269531,37.295230525832984,,
1935,1017500.0,1787500.0,0.0,0.0,0.0,,74.20950108272794,208.55471801757812,40.5499314096312,,
1936,1017500.0,1792500.0,9.0,1.0,9.0,구릉사면,74.53297077047087,122.55670166015625,43.48688543648274,,
1937,1017500.0,1797500.0,0.0,0.0,0.0,,75.18827975686324,175.12298583984375,23.811396570964916,,
1938,1017500.0,1802500.0,2.0,1.0,2.0,구릉사면,76.16686348879543,117.5262451171875,21.760331316081537,,
1939,1017500.0,1807500.0,0.0,0.0,0.0,,77.45647019226517,268.8956298828125,40.66368662107013,,
1940,1017500.0,1812500.0,0.0,0.0,0.0,,79.04187785958611,190.99661254882812,114.11667653602906,,
1941,1017500.0,1817500.0,0.0,0.0,0.0,,80.90569903594056,167.826904296875,82.67107063150078,,
1942,1017500.0,1822500.0,0.0,0.0,0.0,,83.02918653954559,233.68453979492188,59.600312543000065,,
1943,1017500.0,1827500.0,0.0,0.0,0.0,,82.04079297107806,200.04820251464844,9.059459672914349,,
1954,1022500.0,1612500.0,0.0,0.0,0.0,,0.5084519126065514,51.98910140991211,61.24426613128632,,
1955,1022500.0,1617500.0,0.0,0.0,0.0,,0.05907292765753147,22.188982009887695,113.09414581724505,,
1956,1022500.0,1622500.0,0.0,0.0,0.0,,0.993471982723727,16.30602264404297,42.529566915236856,,
1957,1022500.0,1627500.0,0.0,0.0,0.0,,0.3828795197040238,136.3804931640625,14.852864027798821,,
1958,1022500.0,1632500.0,0.0,0.0,0.0,,2.3881283867701604,-1.0,5.308207837169447,,
