cell_id,ctr_x,ctr_y,n_dolmen,n_sites,n_extant,landform_mode,dist_coast_km,elev_m,bathy_grad,curr_p90,curr_mean,marine_dist_km,marine_curr_p90,marine_curr_mean,marine_depth,marine_grad,risk_score,landform_g,y,dist_coast_km_z,elev_m_z,marine_curr_p90_z,marine_grad_z,marine_depth_z
1862,1012500.0,1692500.0,0.0,0.0,0.0,,27.401582869009562,180.35494995117188,140.09012998913573,,,59.27263500137432,0.028722479194402694,0.018912915,25.5,4.475628447492039,-0.5900306784966491,기타,0,0.07387487706418623,-0.010814647711988042,-0.7476868783715466,0.22384278363579274,1.5618961
1863,1012500.0,1697500.0,0.0,0.0,0.0,,32.23929908902677,504.3280029296875,255.35534803634607,,,64.03857944896521,0.028722479194402694,0.018912915,25.5,4.475628447492039,-0.5900306784966491,기타,0,0.27383074343467767,1.530903440645333,-0.7476868783715466,0.22384278363579274,1.5618961
1864,1012500.0,1702500.0,0.0,0.0,0.0,,37.120049404280785,1173.05419921875,128.07095691619367,,,68.83773714814217,0.028722479194402694,0.018912915,25.5,4.475628447492039,-0.5900306784966491,기타,0,0.4755653250925479,4.713227598468442,-0.7476868783715466,0.22384278363579274,1.5618961
1865,1012500.0,1707500.0,0.0,0.0,0.0,,42.02884402170455,668.2769775390625,153.11265643379153,,,73.66361689132565,0.028722479194402694,0.018912915,25.5,4.475628447492039,-0.5900306784966491,기타,0,0.678459053439078,2.311101353400968,-0.7476868783715466,0.22384278363579274,1.5618961
1866,1012500.0,1712500.0,0.0,0.0,0.0,,46.95688865145661,601.513671875,144.01058034868453,,,78.51129123474715,0.028722479194402694,0.018912915,25.5,4.475628447492039,-0.5900306784966491,기타,0,0.8821484367429657,1.993389139269258,-0.7476868783715466,0.22384278363579274,1.5618961
1867,1012500.0,1717500.0,0.0,0.0,0.0,,51.8986999244665,707.6589965820312,217.65511455778008,,,83.376958742704,0.028722479194402694,0.018912915,25.5,4.475628447492039,-0.5900306784966491,기타,0,1.0864068325631817,2.498511912879209,-0.7476868783715466,0.22384278363579274,1.5618961
1868,1012500.0,1722500.0,0.0,0.0,0.0,,56.85068791030011,552.0322875976562,114.86690755337284,,,88.25764356143807,0.028722479194402694,0.018912915,25.5,4.475628447492039,-0.5900306784966491,기타,0,1.2910858593871448,1.7579178725204172,-0.7476868783715466,0.22384278363579274,1.5618961
1869,1012500.0,1727500.0,0.0,0.0,0.0,,61.810406711967744,324.00177001953125,58.27188289730452,,,93.15098520602525,0.028722479194402694,0.018912915,25.5,4.475628447492039,-0.5900306784966491,기타,0,1.4960844216918059,0.6727696775839972,-0.7476868783715466,0.22384278363579274,1.5618961
1870,1012500.0,1732500.0,0.0,0.0,0.0,,66.77613375992497,418.24822998046875,94.23170074417774,,,98.05508881587134,0.028722479194402694,0.018912915,25.5,4.475628447492039,-0.5900306784966491,기타,0,1.70133132102939,1.1212683127314613,-0.7476868783715466,0.22384278363579274,1.5618961
1871,1012500.0,1737500.0,0.0,0.0,0.0,,71.7466215368216,737.0304565429688,159.92143716045211,,,102.48096680953188,0.03380710780620576,0.017533291,1.0,0.3535533905932738,0.06218747950360276,기타,0,1.9067749941412802,2.6382843744679914,-0.5732816448213731,-0.5997119205130237,-1.0868822
1872,1012500.0,1742500.0,0.0,0.0,0.0,,76.17100027377919,844.942138671875,71.87037812567291,,,101.02309860061182,0.03380710780620576,0.017533291,1.0,0.3535533905932738,0.06218747950360276,기타,0,2.0896465069098373,3.151812863191506,-0.5732816448213731,-0.5997119205130237,-1.0868822
1873,1012500.0,1747500.0,0.0,0.0,0.0,,74.74629662509228,457.8135070800781,63.73562740569296,,,99.79471099973938,0.03380710780620576,0.017533291,1.0,0.3535533905932738,0.06218747950360276,기타,0,2.0307596604231337,1.309550957891405,-0.5732816448213731,-0.5997119205130237,-1.0868822
1874,1012500.0,1752500.0,0.0,0.0,0.0,,73.63420696676579,697.7428588867188,146.0957509962338,,,98.80436344703644,0.03380710780620576,0.017533291,1.0,0.3535533905932738,0.06218747950360276,기타,0,1.9847939937740167,2.45132314606372,-0.5732816448213731,-0.5997119205130237,-1.0868822
1875,1012500.0,1757500.0,0.0,0.0,0.0,,72.84904949333736,454.01800537109375,50.32013356349601,,,98.05926844937522,0.03380710780620576,0.017533291,1.0,0.3535533905932738,0.06218747950360276,기타,0,1.9523413165816184,1.2914889814852364,-0.5732816448213731,-0.5997119205130237,-1.0868822
1876,1012500.0,1762500.0,0.0,0.0,0.0,,72.40146123208379,502.80633544921875,90.22511362838765,,,97.56504508008594,0.03380710780620576,0.017533291,1.0,0.3535533905932738,0.06218747950360276,기타,0,1.9338412858882303,1.5236621523420761,-0.5732816448213731,-0.5997119205130237,-1.0868822
1877,1012500.0,1767500.0,0.0,0.0,0.0,,71.18674500400036,704.4694213867188,142.0226985726373,,,97.32551522664428,0.03380710780620576,0.017533291,1.0,0.3535533905932738,0.06218747950360276,기타,0,1.8836337861643515,2.48333341044643,-0.5732816448213731,-0.5997119205130237,-1.0868822
1879,1012500.0,1777500.0,0.0,0.0,0.0,,69.59894727759806,273.46563720703125,19.35300267931423,,,97.22145221706998,0.0841658413410187,0.0433507,1.0,0.5590169943749475,0.8786460333366863,기타,0,1.8180058213221435,0.4322790893812,1.1540474000261172,-0.5586620815144415,-1.0868822
1880,1012500.0,1782500.0,0.0,0.0,0.0,,69.22572789042351,243.92530822753906,47.723515111241866,,,97.17424087381576,0.07296976000070575,0.037741095,3.5,5.960461251322674,-0.05204332596848791,기타,0,1.8025796568853043,0.29170301644858715,0.7700163664770241,0.5204994489293155,-0.8165987
